2015-08-04 12:37:41,674 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:37:41,675 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
2015-08-04 12:37:48,270 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:37:48,272 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-04 12:37:48,275 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:37:48,277 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
2015-08-04 12:37:59,558 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:37:59,560 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-04 12:37:59,562 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:37:59,578 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
2015-08-04 13:46:06,841 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 13:46:06,844 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-04 13:46:06,846 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 13:46:06,847 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
2015-08-04 13:46:15,280 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 13:46:15,282 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-04 13:46:15,284 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 13:46:15,285 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
2015-08-04 13:49:55,985 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 13:49:55,987 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-04 13:49:55,990 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 13:49:55,991 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
2015-08-04 13:50:07,601 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 13:50:07,602 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-04 13:50:07,607 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 13:50:07,608 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
